time,commit,dataset,experiment,variant,seq_model,order_mode,seed,seq_len,accuracy,precision,recall,f1,mcc,auc,best_dev_f1
2026-09-06T15:18:04,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,123,32,0.702451394759087,0.6940700808625337,0.8046875,0.7452966714905933,0.39845107907484645,0.7811406537753223,0.7584973166368515
2026-09-06T15:18:31,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,456,32,0.7075232459847844,0.6970509383378016,0.8125,0.7503607503607503,0.40916358959782023,0.7770229051565376,0.7587939698492462
2026-09-06T15:19:02,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,789,32,0.6863905325443787,0.669609079445145,0.8296875,0.741102581995813,0.3680266987601742,0.7674119475138121,0.7587853974752644
2026-09-06T15:19:36,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,2024,32,0.6965342349957735,0.6916780354706685,0.7921875,0.7385287691187181,0.3859204848050479,0.773892150092081,0.7571273908336341
2026-09-06T15:20:07,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,7,32,0.7117497886728656,0.7201767304860088,0.7640625,0.7414708112206216,0.4173517279579688,0.7795695211786373,0.7553231228987672
2026-09-06T15:20:39,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,13,32,0.6999154691462384,0.6887417218543046,0.8125,0.7455197132616488,0.3937830738790481,0.7752589779005525,0.7568517217146873
2026-09-06T15:21:09,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,99,32,0.7032967032967034,0.7079136690647482,0.76875,0.7370786516853932,0.39973836901976,0.7787580570902393,0.7578241430700448
2026-09-06T15:21:49,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,2025,32,0.7261200338123415,0.7123655913978495,0.828125,0.7658959537572254,0.4476917603362058,0.7807924723756907,0.7583965330444203
2026-09-06T15:22:23,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,314,32,0.6939983093829247,0.6707616707616708,0.853125,0.7510316368638239,0.3867664357496997,0.7761510128913445,0.7620338983050847
2026-09-06T15:22:54,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,1618,32,0.7066779374471682,0.6925098554533509,0.8234375,0.7523197715917203,0.40829973554697463,0.7785479972375691,0.7580133849947165
2026-09-06T15:23:19,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,271,32,0.694843617920541,0.6750313676286073,0.840625,0.7487821851078637,0.386496012120263,0.7781393876611419,0.7637984230373671
2026-09-06T15:23:44,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,577,32,0.7151310228233305,0.723781388478582,0.765625,0.7441154138192863,0.4242793709063514,0.7791810543278085,0.7618697092381302
2026-09-06T15:24:04,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,999,32,0.6973795435333897,0.6920980926430518,0.79375,0.7394468704512372,0.3876912267643587,0.7790774631675876,0.7551454932576295
2026-09-06T15:24:36,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,8128,32,0.6897717666948436,0.6958393113342898,0.7578125,0.7255048616305161,0.37211865371815345,0.7667213397790056,0.7585446527012127
2026-09-06T15:24:58,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,42,32,0.7083685545224007,0.6969292389853138,0.815625,0.7516198704103672,0.4110792062299067,0.779886049723757,0.7610241820768137
2026-09-06T15:25:21,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,123,32,0.6931530008453085,0.6746532156368222,0.8359375,0.7466852756454989,0.38246067336945155,0.7740475368324127,0.7648261758691206
